,gender,age,studyPFtime,workPFtime,yearsWorkExp,timeInPosition,hierarchy,sizeTeam,responsibility,AI_Lit,frequency,llmTaskComplexity,colleagueTaskComplexity,IL_Non_LLM,IL_LLM,writtenContribution,orgComms,communContr,pEU,pUse,interviewtime
gender,1.0,0.08144585484084843,-0.12935233335271099,-0.05605755107559704,0.10540623063972906,-0.025488717023533544,0.1521045596612977,0.2700275664169143,0.04266286113319299,0.16812156308177664,0.054525788936467895,-0.30932555873918666,-0.34170476000156985,-0.16189807710771362,0.1422750410482579,-0.01599587424940544,-0.1336165863375781,-0.04077896343707478,0.27553868807746573,0.11880610356510608,0.191852997797133
age,0.08144585484084843,1.0,-0.5209076730754022,0.4595631691464441,0.9593698639277607,0.9223017238861784,0.8243895559939225,0.11109969970505236,0.39269123093401487,-0.36173045584733154,-0.3316576524480131,0.2662517953118062,-0.13815574616656032,0.041669428336513784,-0.22326751967956096,-0.23688170008892284,0.10121452174144599,0.3087457178201322,-0.2901525203031283,-0.09642666523971927,0.4317863927148377
studyPFtime,-0.12935233335271099,-0.5209076730754022,1.0,-0.7984532508663137,-0.44777075048114723,-0.39942316425066327,-0.5089857576059309,-0.06904509632033644,-0.37119790059197855,0.23567018327129483,0.14681834259930887,-0.11761447390292715,0.1150110055724741,-0.16215130506060624,5.528050963699894e-17,-0.0753744904050244,-0.356474605108662,-0.46306300913304493,0.07745966692414816,0.022961724092203234,-0.17822778996934827
workPFtime,-0.05605755107559704,0.4595631691464441,-0.7984532508663137,1.0,0.410931235972379,0.34913426623783334,0.4325653283851373,0.1169683771072731,0.3653872014831633,-0.09190041382565871,-0.09977841146213418,0.14711998393499837,0.014785794233866625,0.30692396014724277,0.0014712627540304252,0.29398606987164844,0.4269424609504451,0.3344634716266768,-0.04882730752626965,-0.009649401708902683,0.17759923095905553
yearsWorkExp,0.10540623063972906,0.9593698639277607,-0.44777075048114723,0.410931235972379,1.0,0.9133273844820848,0.8492720018200453,0.21311839105974376,0.3532360522715643,-0.38432191385203407,-0.3842945791383981,0.20366280482222435,-0.012854711284756957,0.10962174686281105,-0.27080445300452205,-0.26057365251898135,0.12675618645112813,0.30791544962739564,-0.281171330460932,-0.09090889769118415,0.5070034961213694
timeInPosition,-0.025488717023533544,0.9223017238861784,-0.39942316425066327,0.34913426623783334,0.9133273844820848,1.0,0.8101048919889912,0.0856763083685963,0.4321372688753274,-0.345560971475044,-0.3571337200537182,0.3044953823008846,-0.04403606290878009,-0.007637706953233376,-0.2975271825922481,-0.3104964874181197,0.11729007556655273,0.22001205462079793,-0.2331439494053638,-0.02498709099800612,0.20510723223012217
hierarchy,0.1521045596612977,0.8243895559939225,-0.5089857576059309,0.4325653283851373,0.8492720018200453,0.8101048919889912,1.0,0.06942305587885962,0.49040120545826077,-0.3728579191445231,-0.4334833645603875,-0.012527363024184692,0.05591186275013695,0.16420569403057367,-0.3455745701915325,-0.11946101837864402,0.23416427771763537,0.29499138085211907,-0.3027343378377678,-0.10852391209222127,0.26080723971716746
sizeTeam,0.2700275664169143,0.11109969970505236,-0.06904509632033644,0.1169683771072731,0.21311839105974376,0.0856763083685963,0.06942305587885962,1.0,0.01739308275858541,-0.04739908707021478,-0.16215378770722705,0.06613931674346304,0.10089442026784189,0.22823007912782722,-0.06949683667225613,0.04756999665336013,0.1317345436684294,0.2901051679158977,0.10027894056973129,-0.1228680700011052,0.2986192487936397
responsibility,0.04266286113319299,0.39269123093401487,-0.37119790059197855,0.3653872014831633,0.3532360522715643,0.4321372688753274,0.49040120545826077,0.01739308275858541,1.0,-0.08152562962018692,-0.23020218961136257,0.12500329121064352,0.2463982570450222,0.37781718041855183,-0.0519504941791914,0.10198448369492724,0.6661465665130497,0.4876154262141522,-0.1255255705935573,-0.14247977657071462,-0.1819354160039549
AI_Lit,0.16812156308177664,-0.36173045584733154,0.23567018327129483,-0.09190041382565871,-0.38432191385203407,-0.345560971475044,-0.3728579191445231,-0.04739908707021478,-0.08152562962018692,1.0,0.6996961107630271,0.10430793950812524,0.052008531185890834,-0.27837732639928603,0.6341231572582121,-0.04698609634322104,0.03442635425775961,-0.24506060767793253,0.7735062553098202,0.6711784768142209,-0.14439496132717325
frequency,0.054525788936467895,-0.3316576524480131,0.14681834259930887,-0.09977841146213418,-0.3842945791383981,-0.3571337200537182,-0.4334833645603875,-0.16215378770722705,-0.23020218961136257,0.6996961107630271,1.0,0.34679261824460467,-0.09466976289422428,-0.3458803601799688,0.6638272318122083,0.08753661896466709,-0.12980173392555594,-0.1280430995423396,0.4868851526579442,0.6004954051346078,0.004102510473657032
llmTaskComplexity,-0.30932555873918666,0.2662517953118062,-0.11761447390292715,0.14711998393499837,0.20366280482222435,0.3044953823008846,-0.012527363024184692,0.06613931674346304,0.12500329121064352,0.10430793950812524,0.34679261824460467,1.0,-0.14825702707158434,-0.10841858378852191,0.2994771764986822,-0.1937515942932829,0.006074588721932043,-0.0010637287539663933,0.17936056636272493,0.21351864626537176,0.11586768844671362
colleagueTaskComplexity,-0.34170476000156985,-0.13815574616656032,0.1150110055724741,0.014785794233866625,-0.012854711284756957,-0.04403606290878009,0.05591186275013695,0.10089442026784189,0.2463982570450222,0.052008531185890834,-0.09466976289422428,-0.14825702707158434,1.0,0.3471570260981472,-0.11941917545789901,0.08105702861205535,0.4603504135560876,0.36395437065035946,-0.05978216097329135,0.07297088227363412,-0.12028676489459561
IL_Non_LLM,-0.16189807710771362,0.041669428336513784,-0.16215130506060624,0.30692396014724277,0.10962174686281105,-0.007637706953233376,0.16420569403057367,0.22823007912782722,0.37781718041855183,-0.27837732639928603,-0.3458803601799688,-0.10841858378852191,0.3471570260981472,1.0,0.036942203293895706,0.13406085211237348,0.5239913434159608,0.36168788698864135,-0.1535133854382402,-0.2631113293114575,0.08535536689353512
IL_LLM,0.1422750410482579,-0.22326751967956096,5.528050963699894e-17,0.0014712627540304252,-0.27080445300452205,-0.2975271825922481,-0.3455745701915325,-0.06949683667225613,-0.0519504941791914,0.6341231572582121,0.6638272318122083,0.2994771764986822,-0.11941917545789901,0.036942203293895706,1.0,-0.07762689166135128,0.0842605309447497,0.07340396871378758,0.566480954553781,0.5387876914606003,0.14451246631722553
writtenContribution,-0.01599587424940544,-0.23688170008892284,-0.0753744904050244,0.29398606987164844,-0.26057365251898135,-0.3104964874181197,-0.11946101837864402,0.04756999665336013,0.10198448369492724,-0.04698609634322104,0.08753661896466709,-0.1937515942932829,0.08105702861205535,0.13406085211237348,-0.07762689166135128,1.0,0.3380009603926627,0.18269611474226347,-0.12771681390454473,-0.2617726481559276,-0.12796880666450045
orgComms,-0.1336165863375781,0.10121452174144599,-0.356474605108662,0.4269424609504451,0.12675618645112813,0.11729007556655273,0.23416427771763537,0.1317345436684294,0.6661465665130497,0.03442635425775961,-0.12980173392555594,0.006074588721932043,0.4603504135560876,0.5239913434159608,0.0842605309447497,0.3380009603926627,1.0,0.5999873136948252,0.017571529931858194,-0.12501141970620105,-0.06229881420414923
communContr,-0.04077896343707478,0.3087457178201322,-0.46306300913304493,0.3344634716266768,0.30791544962739564,0.22001205462079793,0.29499138085211907,0.2901051679158977,0.4876154262141522,-0.24506060767793253,-0.1280430995423396,-0.0010637287539663933,0.36395437065035946,0.36168788698864135,0.07340396871378758,0.18269611474226347,0.5999873136948252,1.0,-0.2892981978745239,-0.149997371283652,0.2096788431678364
pEU,0.27553868807746573,-0.2901525203031283,0.07745966692414816,-0.04882730752626965,-0.281171330460932,-0.2331439494053638,-0.3027343378377678,0.10027894056973129,-0.1255255705935573,0.7735062553098202,0.4868851526579442,0.17936056636272493,-0.05978216097329135,-0.1535133854382402,0.566480954553781,-0.12771681390454473,0.017571529931858194,-0.2892981978745239,1.0,0.5780474375605335,-0.09195259953932802
pUse,0.11880610356510608,-0.09642666523971927,0.022961724092203234,-0.009649401708902683,-0.09090889769118415,-0.02498709099800612,-0.10852391209222127,-0.1228680700011052,-0.14247977657071462,0.6711784768142209,0.6004954051346078,0.21351864626537176,0.07297088227363412,-0.2631113293114575,0.5387876914606003,-0.2617726481559276,-0.12501141970620105,-0.149997371283652,0.5780474375605335,1.0,-0.06807253659934552
interviewtime,0.191852997797133,0.4317863927148377,-0.17822778996934827,0.17759923095905553,0.5070034961213694,0.20510723223012217,0.26080723971716746,0.2986192487936397,-0.1819354160039549,-0.14439496132717325,0.004102510473657032,0.11586768844671362,-0.12028676489459561,0.08535536689353512,0.14451246631722553,-0.12796880666450045,-0.06229881420414923,0.2096788431678364,-0.09195259953932802,-0.06807253659934552,1.0
