,gender,age,studyPFtime,workPFtime,yearsWorkExp,timeInPosition,hierarchy,sizeTeam,responsibility,AI_Lit,frequency,llmTaskComplexity,colleagueTaskComplexity,IL_Non_LLM,IL_LLM,writtenContribution,orgComms,communContr,pEU,pUse,interviewtime
gender,1.0,0.08070941201984612,-0.0691604168965611,-0.14940357616679922,0.09888439646527014,-0.012225939377836084,0.12280898310810304,0.26244532958391187,0.03416006511500937,0.11973825573880909,0.017524990930819582,-0.31425048518850446,-0.3592515211637773,-0.23070622197363863,0.11018538760431418,0.005116043333234322,-0.15062157079831306,-0.0052431529805946255,0.25424355376605173,0.0839483151742216,0.19615257633718097
age,0.08070941201984612,1.0,-0.536733392388,0.47169618129058594,0.9592654286704335,0.923848434104856,0.8306992912963966,0.08036458410108714,0.38811387342408116,-0.4100060853331635,-0.327596184221983,0.2774626513894524,-0.13914531800517363,0.03665100135390081,-0.22651894422165067,-0.2591481326345742,0.08214663515427414,0.33135383611710084,-0.3372197914113273,-0.11524679033997999,0.4260785138199083
studyPFtime,-0.0691604168965611,-0.536733392388,1.0,-0.7869470848066688,-0.4544094016511341,-0.4291171651440372,-0.4946626321960449,-0.037646162621052096,-0.3738951571402844,0.32396782832203597,0.19392570862142886,-0.12972086035382774,0.12534911338441376,-0.11097267371109076,0.039091252322465825,-0.09907175314045882,-0.3616117692388046,-0.5279727485619915,0.13268751732421016,0.06866108388078049,-0.18078639127040438
workPFtime,-0.14940357616679922,0.47169618129058594,-0.7869470848066688,1.0,0.4090152087527318,0.37911063595054717,0.4109974682633931,0.048795003647426664,0.36781681963985985,-0.21221273124543463,-0.14243531966412082,0.17473107738729138,0.008123551006197126,0.25460806650876466,-0.04503827020052176,0.32530956027092767,0.42448521236453296,0.42614011829561377,-0.14482751893788778,-0.08026994240132014,0.17426072860024192
yearsWorkExp,0.09888439646527014,0.9592654286704335,-0.4544094016511341,0.4090152087527318,1.0,0.9172739548790191,0.8539694136152678,0.17962108742648267,0.346997689263176,-0.4461630722837054,-0.38444189099266945,0.21709989741504898,-0.013592683270690362,0.10045007425456229,-0.2793553963368223,-0.285212142828497,0.10390948266720022,0.3378767308713393,-0.33859135135721274,-0.1167274652546926,0.5016967487502076
timeInPosition,-0.012225939377836084,0.923848434104856,-0.4291171651440372,0.37911063595054717,0.9172739548790191,1.0,0.8266261507437436,0.06636761315030099,0.4315875133063006,-0.3728615173578873,-0.3448037585160059,0.3133046366081671,-0.042729231111112556,0.002149612997443016,-0.2920078342941713,-0.33807331735005036,0.10397150553458812,0.22863948982052673,-0.26177548870378653,-0.02899290860118711,0.1989731943558897
hierarchy,0.12280898310810304,0.8306992912963966,-0.4946626321960449,0.4109974682633931,0.8539694136152678,0.8266261507437436,1.0,0.04010924592599071,0.4882439975127762,-0.4407337793158348,-0.4614373219773096,-0.005419926825140403,0.05342014234968866,0.13725935511933182,-0.37252612742596336,-0.11962757349709964,0.2253471989795511,0.32968001834345445,-0.3571424617100427,-0.14056925322825728,0.25838362097267964
sizeTeam,0.26244532958391187,0.08036458410108714,-0.037646162621052096,0.048795003647426664,0.17962108742648267,0.06636761315030099,0.04010924592599071,1.0,-0.0072760634010454175,-0.14596032253803778,-0.15126757757278053,0.09491211508442808,0.1043823579240601,0.21136257155177743,-0.08378512255075193,0.012531695668391594,0.08054961244402363,0.36327482718147897,0.011778098858036618,-0.18817535678858743,0.287336978753688
responsibility,0.03416006511500937,0.38811387342408116,-0.3738951571402844,0.36781681963985985,0.346997689263176,0.4315875133063006,0.4882439975127762,-0.0072760634010454175,1.0,-0.10933761064405688,-0.23248630232607936,0.1315450361338812,0.24650824236073207,0.37828216422299854,-0.0566302451951351,0.09648513101579458,0.6657182624033012,0.5106246938018467,-0.15533333282530035,-0.160004613046657,-0.18961490643271062
AI_Lit,0.11973825573880909,-0.4100060853331635,0.32396782832203597,-0.21221273124543463,-0.4461630722837054,-0.3728615173578873,-0.4407337793158348,-0.14596032253803778,-0.10933761064405688,1.0,0.7407689366972805,0.13052856109403324,0.04951687824871359,-0.35994899287452925,0.6428725084047058,-0.06257006244367402,-0.010481518683913438,-0.20294933998773348,0.7553287699113603,0.654987493346888,-0.17314035275316153
