1: id,2: submitdate,3: lastpage,4: startlanguage,5: seed,6: startdate,7: datestamp,8: DemQ01,9: DemQ02,10: DemQ03,11: DemQ04,12: DemQ07[SQ001],13: DemQ07[SQ002],14: G01Q31,15: DemG055[SQ001],16: DemG055[SQ002],17: DemQ05,18: DemQ05[other],19: DemQ06,20: DemQ51[SQ001],21: DemQ51[SQ002],22: DemQ51[SQ003],23: DemQ51[SQ004],24: DemQ51[SQ005],25: DemQ51[SQ006],26: LitQ01[SQ001],27: LitQ01[SQ002],28: LitQ01[SQ003],29: LitQ01[SQ004],30: LitQ01[SQ005],31: LitQ01[SQ006],32: LitQ01[SQ007],33: LitQ01[SQ008],34: LitQ01[SQ009],35: LitQ01[SQ010],36: LitQ01[SQ011],37: LitQ01[SQ012],38: LitQ01[SQ013],39: LitQ01[SQ014],40: LitQ01[SQ015],41: UseQ01[SQ001],42: UseQ02,43: GTCQ01[SQ001],44: GTCQ01[SQ002],45: GTCQ01[SQ003],46: GTCQ01[SQ004],47: GTCQ01[SQ005],48: GTCQ02[SQ001],49: GTCQ02[SQ002],50: GTCQ02[SQ003],51: GTCQ02[SQ004],52: GTCQ02[SQ005],53: ILQ01[SQ001],54: ILQ01[SQ002],55: ILQ01[SQ003],56: ILQ01[SQ004],57: ILQ01[SQ005],58: ILQ01[SQ006],59: ILQ01[SQ007],60: ILQ01[SQ008],61: ILQ01[SQ009],62: ILQ01[SQ010],63: ILQ01[SQ011],64: ILQ01[SQ012],65: ILQ01[SQ013],66: ILQ01[SQ014],67: ILQ01[SQ015],68: WrittQ01[SQ001],69: WrittQ01[SQ002],70: OrgQ01[SQ001],71: OrgQ01[SQ002],72: OrgQ01[SQ003],73: OrgQ01[SQ004],74: OrgQ01[SQ005],75: OrgQ01[SQ006],76: OrgQ01[SQ007],77: OrgQ01[SQ008],78: CommQ01[SQ001],79: CommQ01[SQ002],80: CommQ01[SQ003],81: CommQ01[SQ004],82: CommQ01[SQ005],83: CommQ01[SQ006],84: CommQ01[SQ007],85: PEUQ01[SQ001],86: PEUQ01[SQ002],87: PEUQ01[SQ003],88: PEUQ01[SQ004],89: PEUQ01[SQ005],90: PEUQ01[SQ006],91: PUQ01[SQ001],92: PUQ01[SQ002],93: PUQ01[SQ003],94: PUQ01[SQ004],95: PUQ01[SQ005],96: PUQ01[SQ006],97: PUQ01[SQ007],98: OpenQ01,99: OpenQ02,100: G10Q28,101: interviewtime,102: groupTime30404,103: groupTime30405,104: groupTime30406,105: groupTime31251,106: groupTime30407,107: groupTime30408,108: groupTime30409,109: groupTime30410,110: groupTime30411,111: groupTime31270
4,2025,10.0,en,1523728688,2025,2025,Male,28.0,Employee,Chemical Industry ,No,Full-time,2.0,1.0,1.0,Entry-level,,11,3,1,2,4,4,5,2,2,1,2,3,2,4,4,5,2,4,4,1,2,1,Once a month,While using bing or Google.,1,1,6,5.0,5.0,7,6,4,5,4,6,4,1,1,6,5,2,6,6,6,6,6,5,4,5,often,sometimes,often,never,often,often,always,sometimes,rarely,rarely,sometimes,often,never,rarely,rarely,rarely,rarely,2,5,3,1,5,6,2,1,3,4,5,5,1,Predictive Maintenance ,To run the plant autonomous without human interaction. Very easy to manipulate because of black box problem.,Maybe we can soon chat with an AI about the topic casually and still transfer the information needed.,895.87,139.53,122.14,57.94,87.3,129.91,147.73,34.6,39.54,56.66,80.52
5,2025,10.0,en,1990515104,2025,2025,Female,22.0,Student,Social Sciences,Full-time,Half-time,1.0,1.0,1.0,Entry-level,,11,1,1,1,1,4,1,5,5,5,5,5,5,2,4,5,5,2,5,3,3,6,Multiple times a week,"translations, formulations, explanations, conceptualization of ideas",3,2,3,2.0,5.0,3,2,2,5,5,5,2,1,4,6,2,5,6,4,2,2,5,5,5,5,often,never,often,never,never,never,sometimes,never,sometimes,rarely,never,never,never,never,never,never,never,6,6,5,5,5,6,6,6,6,6,6,6,3,"ChatGPT is very impressive. For instance, when thinking about a research design it can really help organizing your ideas and coming to a clear proposal. ",ChatGPT is very unhelpful when it comes to literature research. Sometimes it just invents sources or has problems finding credible papers regarding a topic.,,1172.55,199.1,126.51,111.17,105.96,98.35,147.02,29.2,38.27,304.2,12.77
7,2025,10.0,en,709776604,2025,2025,Female,26.0,Employee,Fishing,No,Full-time,3.0,1.0,5.0,Mid-level,,2,2,1,1,3,4,1,5,5,4,5,5,6,3,4,4,3,3,3,4,4,5,Multiple times a month,To search for laws and ways to apply them,4,3,3,2.0,3.0,4,5,5,5,3,6,6,3,6,6,3,2,5,2,2,6,4,4,5,5,rarely,rarely,often,never,always,rarely,sometimes,often,rarely,never,never,rarely,never,never,never,never,never,7,5,6,6,6,6,7,7,7,7,7,6,5,The way it helps to search for and compile information that would take me a long time to do by myself ,"The information is not always what I’m looking for, so I have to verify or cross-check what it shows",It’s well done ,862.25,112.27,92.32,85.63,58.57,99.06,157.72,29.92,23.34,181.82,21.6
11,2025,10.0,en,819620125,2025,2025,Male,28.0,Student,Data Science,Full-time,Half-time,2.0,0.0,3.0,Entry-level,,2,2,1,3,4,5,4,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,Multiple times a week,"Writing Emails, concepts for work. Help with coding. ",6,5,2,4.0,4.0,7,7,2,6,7,4,5,4,4,4,5,4,5,6,5,6,5,4,4,4,sometimes,rarely,often,sometimes,sometimes,sometimes,rarely,often,often,rarely,sometimes,sometimes,never,rarely,sometimes,never,never,6,5,5,6,6,6,7,6,6,6,6,6,4,,,,479.21,91.18,74.0,93.03,36.48,57.16,70.94,21.45,22.67,10.04,2.26
12,2025,10.0,en,2718294,2025,2025,Female,24.0,Student,IT,Full-time,Half-time,5.5,1.0,6.0,Other,Working student,2,1,1,1,4,5,5,6,6,6,6,6,6,5,5,6,6,5,5,5,6,5,Multiple times a week,Usually for bug fixing or specific low knowledge-high effort tasks,2,2,2,2.0,3.0,6,6,6,6,6,5,4,5,5,5,5,4,5,6,5,5,4,5,5,6,sometimes,sometimes,sometimes,never,often,often,often,often,often,sometimes,never,never,never,never,never,never,never,7,7,7,7,7,7,7,6,7,6,7,6,5,,,,1693.07,112.11,77.51,45.79,227.82,119.98,1035.59,34.31,25.2,8.89,5.87
14,2025,10.0,en,107444724,2025,2025,Male,30.0,"Academic (e.g. researcher, lecturer - not student)",Psychology,No,Full-time,5.5,2.0,1.0,Mid-level,,2,2,3,1,5,5,5,5,5,5,4,4,5,5,6,5,5,3,4,4,3,4,Multiple times a week,"Literature search, generating summaries, improving language for written text, help with programming",3,4,2,6.0,5.0,7,7,6,5,7,5,4,5,3,5,5,4,5,4,3,4,6,5,6,6,often,sometimes,often,sometimes,often,rarely,often,often,rarely,often,sometimes,sometimes,sometimes,sometimes,rarely,rarely,sometimes,6,5,6,5,6,6,6,4,5,5,6,6,4,Application of LLMs on a private server to study real-life interactions of people with LLMs,Uncritical use for literature search and hallucination of sources,,686.46,122.21,76.15,88.77,77.02,58.51,117.02,29.46,27.15,83.9,6.27
16,2025,10.0,en,1724255979,2025,2025,Male,26.0,Employee,IT-Consulting,Full-time,Full-time,3.0,0.0,4.0,Entry-level,,2,2,3,2,4,5,4,5,4,4,5,5,4,5,5,5,5,5,5,4,4,4,Multiple times a week,"Software development, automation of repetitive tasks involving text",5,1,2,4.0,5.0,7,7,6,4,7,4,6,4,4,4,5,5,6,5,5,5,5,5,5,5,often,often,often,often,often,rarely,often,often,often,sometimes,rarely,sometimes,sometimes,never,often,never,sometimes,6,4,4,3,5,4,6,5,6,6,5,5,2,Softening the initial learning curve when having to work with unfamiliar (but overall well-established) technologies and programming languages.,"Low-quality ""AI slop"" code and documentation",,905.79,98.86,76.72,96.43,39.34,86.83,110.17,24.21,27.44,334.56,11.23
17,2025,10.0,en,1512355718,2025,2025,Male,30.0,Student,IT,Full-time,Half-time,1.0,0.0,7.0,Entry-level,,2,1,1,1,1,4,3,5,5,2,3,4,4,4,6,5,5,4,4,5,5,6,Multiple times a day,Coding assistance,6,6,6,3.0,3.0,6,6,6,3,3,5,5,5,5,6,4,6,6,6,6,4,6,6,6,6,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,never,never,never,never,never,never,7,4,5,5,7,5,7,7,7,7,7,7,4,"Image generation has become really good. Other than that, Github Copilot is really helpful for routine tasks such as code refactoring, adjusting several functions at once etc.","Using it just to copy paste code without trying to learn something is concerning. LLMs should always be used as a tool not only to achieve results faster, but also to improve your own skills.",,577.62,81.35,78.49,31.07,30.17,52.89,69.06,27.3,22.8,178.71,5.78
18,2025,10.0,en,1070056764,2025,2025,Male,29.0,Student,Finance ,Full-time,Half-time,5.0,5.0,6.0,Entry-level,,6,3,5,2,3,4,5,5,5,5,4,4,4,5,6,3,4,4,3,4,3,5,Multiple times a week,Studies ,5,5,5,5.0,5.0,6,6,4,6,6,5,3,3,3,6,5,2,5,5,6,6,5,5,5,5,sometimes,sometimes,often,often,often,often,often,often,sometimes,sometimes,rarely,rarely,rarely,rarely,rarely,rarely,rarely,5,6,6,6,5,5,6,3,3,3,3,2,2,Collect research data ,Prove of evidence,"No, it was understandable. ",1031.97,165.48,326.31,23.84,61.83,147.27,165.93,42.29,41.3,33.43,24.29
19,2025,10.0,en,1467253109,2025,2025,Male,28.0,Employee,Energy Systems Engineering,No,Full-time,7.0,1.0,5.0,Mid-level,,6,4,4,2,4,5,4,5,5,4,4,4,4,4,4,4,4,5,5,4,4,5,Multiple times a week,"Advanced web research for engineering knowledge; verify unit conversions; MS Office Know-how (e.g. Excel formulas, advanced user knowledge for MS office programs); Basic programming (e.g. Powershell, Python) ",5,4,5,4.0,4.0,6,5,5,6,6,5,6,4,5,5,5,6,6,6,6,6,6,6,6,6,often,often,always,often,often,always,often,always,often,often,often,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,5,5,5,6,5,5,5,5,5,5,5,5,4,"As a non software engineer: Programming. 
You can create functional code for simple programs in new languages within a fraction of the time it would take without LLMs. ",Trusting LLMs too much. I've seen colleagues using technical values calculated by LLMs which where magnitudes off the actual value because wrong engineering equations where beeing used or the right equations where used incorrectly or with false assumptions. ,Some questions seem very similar / indifferent. Maybe less questions or questions where the motivation is more clear are better. ,1084.79,103.02,58.05,281.11,44.79,62.53,136.96,26.22,24.11,256.53,91.47
