"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","DemQ01","DemQ01[other]","DemQ02","DemQ03","DemQ03[other]","DemQ04","DemQ07[SQ001]","DemQ07[SQ002]","G01Q31","DemG055[SQ001]","DemG055[SQ002]","DemQ05","DemQ05[other]","DemQ06","DemQ06[other]","DemQ51[SQ001]","DemQ51[SQ002]","DemQ51[SQ003]","DemQ51[SQ004]","DemQ51[SQ005]","DemQ51[SQ006]","G03Disclaimer","LitQ01[SQ001]","LitQ01[SQ002]","LitQ01[SQ003]","LitQ01[SQ004]","LitQ01[SQ005]","LitQ01[SQ006]","LitQ01[SQ007]","LitQ01[SQ008]","LitQ01[SQ009]","LitQ01[SQ010]","LitQ01[SQ011]","LitQ01[SQ012]","LitQ01[SQ013]","LitQ01[SQ014]","LitQ01[SQ015]","G04Disclaimer","UseQ01[SQ001]","UseQ02","GTCQ01[SQ001]","GTCQ01[SQ002]","GTCQ01[SQ003]","GTCQ01[SQ004]","GTCQ01[SQ005]","GTCQ02[SQ001]","GTCQ02[SQ002]","GTCQ02[SQ003]","GTCQ02[SQ004]","GTCQ02[SQ005]","G05Disclaimer","ILQ01[SQ001]","ILQ01[SQ002]","ILQ01[SQ003]","ILQ01[SQ004]","ILQ01[SQ005]","ILQ01[SQ006]","ILQ01[SQ007]","ILQ01[SQ008]","ILQ01[SQ009]","ILQ01[SQ010]","ILQ01[SQ011]","ILQ01[SQ012]","ILQ01[SQ013]","ILQ01[SQ014]","ILQ01[SQ015]","G06Disclaimer","WrittQ01[SQ001]","WrittQ01[SQ002]","OrgQ01[SQ001]","OrgQ01[SQ002]","OrgQ01[SQ003]","OrgQ01[SQ004]","OrgQ01[SQ005]","OrgQ01[SQ006]","OrgQ01[SQ007]","OrgQ01[SQ008]","CommQ01[SQ001]","CommQ01[SQ002]","CommQ01[SQ003]","CommQ01[SQ004]","CommQ01[SQ005]","CommQ01[SQ006]","CommQ01[SQ007]","G07Disclaimer","PEUQ01[SQ001]","PEUQ01[SQ002]","PEUQ01[SQ003]","PEUQ01[SQ004]","PEUQ01[SQ005]","PEUQ01[SQ006]","G08Disclaimer","PUQ01[SQ001]","PUQ01[SQ002]","PUQ01[SQ003]","PUQ01[SQ004]","PUQ01[SQ005]","PUQ01[SQ006]","PUQ01[SQ007]","G09Disclaimer","OpenQ01","OpenQ02","G10Q28","interviewtime","groupTime30404","DemQ01Time","DemQ02Time","DemQ03Time","DemQ04Time","DemQ07Time","G01Q31Time","DemG055Time","DemQ05Time","DemQ06Time","DemQ51Time","groupTime30405","G03DisclaimerTime","LitQ01Time","groupTime30406","G04DisclaimerTime","UseQ01Time","UseQ02Time","groupTime31251","GTCQ01Time","GTCQ02Time","groupTime30407","G05DisclaimerTime","ILQ01Time","groupTime30408","G06DisclaimerTime","WrittQ01Time","OrgQ01Time","CommQ01Time","groupTime30409","G07DisclaimerTime","PEUQ01Time","groupTime30410","G08DisclaimerTime","PUQ01Time","groupTime30411","G09DisclaimerTime","OpenQ01Time","OpenQ02Time","groupTime31270","G10Q28Time"
"3","","1","en","959255260","2025-04-25 18:41:25","2025-04-25 18:43:06","Other","ITS ME DAVID DO NOT USE","28","Student","","Computer Science","Full-time","No","2.5","0","12","Other","ITS ME DAVID DO NOT USE","2-5","","1 - Not at all","2","3","4","5 - A great extent","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.77","100.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2025-04-26 00:09:45","10","en","1523728688","2025-04-25 23:53:39","2025-04-26 00:09:45","Male","","28","Employee","","Chemical Industry ","No","Full-time","2","1","1","Entry-level","","11-20","","3","1 - Not at all","2","4","4","5 - A great extent","","2","2","1 - no ability","2","3","2","4","4","5","2","4","4","1 - no ability","2","1 - no ability","","Once a month","While using bing or Google.","1 - strongly disagree","1 - strongly disagree","6","5","5","7 - strongly agree","6","4","5","4","","6 - fully agree","4","1 - not agree at all","1 - not agree at all","6 - fully agree","5","2","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","5","4","5","","often","sometimes","often","never","often","often","always","sometimes","rarely","rarely","sometimes","often","never","rarely","rarely","rarely","rarely","","2","5","3","1 - extremely disagree","5","6","","2","1 - extremely disagree","3","4 - neither","5","5","1 - extremely disagree","","Predictive Maintenance ","To run the plant autonomous without human interaction. Very easy to manipulate because of black box problem.","Maybe we can soon chat with an AI about the topic casually and still transfer the information needed.","895.87","139.53","","","","","","","","","","","122.14","","","57.94","","","","87.3","","","129.91","","","147.73","","","","","34.6","","","39.54","","","56.66","","","","80.52",""
"5","2025-04-26 10:13:30","10","en","1990515104","2025-04-26 09:53:59","2025-04-26 10:13:30","Female","","22","Student","","Social Sciences","Full-time","Half-time","1","1","1","Entry-level","","11-20","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","4","1 - Not at all","","5","5","5","5","5","5","2","4","5","5","2","5","3","3","6 - perfect ability","","Multiple times a week","translations, formulations, explanations, conceptualization of ideas","3","2","3","2","5","3","2","2","5","5","","5","2","1 - not agree at all","4","6 - fully agree","2","5","6 - fully agree","4","2","2","5","5","5","5","","often","never","often","never","never","never","sometimes","never","sometimes","rarely","never","never","never","never","never","never","never","","6","6","5","5","5","6","","6","6","6","6","6","6","3","","ChatGPT is very impressive. For instance, when thinking about a research design it can really help organizing your ideas and coming to a clear proposal. ","ChatGPT is very unhelpful when it comes to literature research. Sometimes it just invents sources or has problems finding credible papers regarding a topic.","","1172.55","199.1","","","","","","","","","","","126.51","","","111.17","","","","105.96","","","98.35","","","147.02","","","","","29.2","","","38.27","","","304.2","","","","12.77",""
"6","","","en","1856470458","2025-04-26 20:21:42","2025-04-26 20:21:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2025-04-28 04:15:32","10","en","709776604","2025-04-28 04:01:14","2025-04-28 04:15:32","Female","","26","Employee","","Fishing","No","Full-time","3","1","5","Mid-level","","2-5","","2","1 - Not at all","1 - Not at all","3","4","1 - Not at all","","5","5","4","5","5","6 - perfect ability","3","4","4","3","3","3","4","4","5","","Multiple times a month","To search for laws and ways to apply them","4","3","3","2","3","4","5","5","5","3","","6 - fully agree","6 - fully agree","3","6 - fully agree","6 - fully agree","3","2","5","2","2","6 - fully agree","4","4","5","5","","rarely","rarely","often","never","always","rarely","sometimes","often","rarely","never","never","rarely","never","never","never","never","never","","7 - extremely agree","5","6","6","6","6","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","6","5","","The way it helps to search for and compile information that would take me a long time to do by myself ","The information is not always what I’m looking for, so I have to verify or cross-check what it shows","It’s well done ","862.25","112.27","","","","","","","","","","","92.32","","","85.63","","","","58.57","","","99.06","","","157.72","","","","","29.92","","","23.34","","","181.82","","","","21.6",""
"8","","","en","1375667929","2025-04-28 08:50:27","2025-04-28 08:50:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","1","en","1241942998","2025-04-28 11:25:52","2025-04-28 11:29:43","Female","","26","Employee","","Gym","No","Full-time","4","4","0","Senior-level","","11-20","","3","1 - Not at all","3","1 - Not at all","3","1 - Not at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230.45","230.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","4","en","1519810074","2025-04-29 20:26:55","2025-04-29 20:33:54","Male","","28","Other","Arbeitslos","Raumfahrt, Luftfahrt ","No","No","10","0","3","Senior-level","","21+","","5 - A great extent","3","5 - A great extent","5 - A great extent","4","3","","5","5","5","5","5","5","5","4","5","5","5","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","","Multiple times a month","ChatGPT","4","3","4","5","4","5","4","1 - strongly disagree","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418.51","143.98","","","","","","","","","","","101.13","","","22.91","","","","150.49","","","","","","","","","","","","","","","","","","","","","",""
"11","2025-04-30 08:46:11","10","en","819620125","2025-04-30 08:38:14","2025-04-30 08:46:11","Male","","28","Student","","Data Science","Full-time","Half-time","2","0","3","Entry-level","","2-5","","2","1 - Not at all","3","4","5 - A great extent","4","","5","5","5","5","5","5","5","5","5","5","3","3","5","5","5","","Multiple times a week","Writing Emails, concepts for work. Help with coding. ","6","5","2","4","4","7 - strongly agree","7 - strongly agree","2","6","7 - strongly agree","","4","5","4","4","4","5","4","5","6 - fully agree","5","6 - fully agree","5","4","4","4","","sometimes","rarely","often","sometimes","sometimes","sometimes","rarely","often","often","rarely","sometimes","sometimes","never","rarely","sometimes","never","never","","6","5","5","6","6","6","","7 - extremely agree","6","6","6","6","6","4 - neither","","","","","479.21","91.18","","","","","","","","","","","74","","","93.03","","","","36.48","","","57.16","","","70.94","","","","","21.45","","","22.67","","","10.04","","","","2.26",""
"12","2025-04-30 11:03:01","10","en","2718294","2025-04-30 10:34:52","2025-04-30 11:03:01","Female","","24","Student","","IT","Full-time","Half-time","5.5","1","6","Other","Working student","2-5","","1 - Not at all","1 - Not at all","1 - Not at all","4","5 - A great extent","5 - A great extent","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","5","6 - perfect ability","6 - perfect ability","5","5","5","6 - perfect ability","5","","Multiple times a week","Usually for bug fixing or specific low knowledge-high effort tasks","2","2","2","2","3","6","6","6","6","6","","5","4","5","5","5","5","4","5","6 - fully agree","5","5","4","5","5","6 - fully agree","","sometimes","sometimes","sometimes","never","often","often","often","often","often","sometimes","never","never","never","never","never","never","never","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","","7 - extremely agree","6","7 - extremely agree","6","7 - extremely agree","6","5","","","","","1693.07","112.11","","","","","","","","","","","77.51","","","45.79","","","","227.82","","","119.98","","","1035.59","","","","","34.31","","","25.2","","","8.89","","","","5.87",""
