"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","What is your gender?","What is your gender? [Other]","What is your age?","What is your current main occupation?","What is your current main occupation? [Other]","Which field or industry do you primarily work or study in?","Do you work/study full-time or part-time? [Study]","Do you work/study full-time or part-time? [Work]","How many years of total work experience do you have in your current field or industry?","How long have you been in your current role/position? [Years]","How long have you been in your current role/position? [Months]","What is your position or hierarchy level within your academic field or industry?","What is your position or hierarchy level within your academic field or industry? [Other]","What is the typical size of the team you work in?","What is the typical size of the team you work in? [Other]","Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.]","Please rate the extent to which your main occupation involves the following: [Managing budgets or having financial oversight.]","Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.]","Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.]","Please rate the extent to which your main occupation involves the following: [Autonomy in how I carry out my work.]","Please rate the extent to which your main occupation involves the following: [Accountability for meeting specific targets or outcomes.]","Disclaimer: “LLM definition: Large Language Models (LLMs), also referred to as Generative Language Models (GLMs), are AI systems capable of generating text based on a prompt. Examples include OpenAI's GPT-4/ChatGPT, Google's Gemini, Microsoft's Co-Pilot, Anthropic's Claude, or Meta's LLama.”","Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.]","Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.]","Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.]","Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]","Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]","Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.]","Please rate your ability regarding the following statements: [I know the most important concepts of the topic ""artificial intelligence"".]","Please rate your ability regarding the following statements: [I know definitions of artificial intelligence.]","Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.]","Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.]","Please rate your ability regarding the following statements: [I can think of new uses for LLMs.]","Please rate your ability regarding the following statements: [I can imagine possible future uses of LLMs.]","Please rate your ability regarding the following statements: [I can tell if I am dealing with an application based on LLMs. ]","Please rate your ability regarding the following statements: [I can distinguish devices that use LLMs from devices that do not.]","Please rate your ability regarding the following statements: [I can distinguish if I interact with an LLM or a real human.]","Disclaimer: “LLM definition: Large Language Models (LLMs), also referred to as Generative Language Models (GLMs), are AI systems capable of generating text based on a prompt. Examples include OpenAI's GPT-4/ChatGPT, Google's Gemini, Microsoft's Co-Pilot, Anthropic's Claude, or Meta's LLama.”","How often do you use generative AI tools (such as ChatGPT) at work? []","What do you use generative AI tools (such as ChatGPT and other large language models) for?","The tasks I solve using LLMs... [... include much variety.]","The tasks I solve using LLMs... [... mainly consist of solving complex problems.]","The tasks I solve using LLMs... [... hardly consist of routine work.]","The tasks I solve using LLMs... [... require the assessment of a large amount of information/alternatives.]","The tasks I solve using LLMs... [... consist of numerous different elements.]","The tasks I solve with colleagues... [... include much variety.]","The tasks I solve with colleagues... [... mainly consist of solving complex problems.]","The tasks I solve with colleagues... [... hardly consist of routine work.]","The tasks I solve with colleagues... [... require the assessment of a large amount of information/alternatives.]","The tasks I solve with colleagues... [... consist of numerous different elements.]","Disclaimer: “LLM definition: Large Language Models (LLMs), also referred to as Generative Language Models (GLMs), are AI systems capable of generating text based on a prompt. Examples include OpenAI's GPT-4/ChatGPT, Google's Gemini, Microsoft's Co-Pilot, Anthropic's Claude, or Meta's LLama.”","Please rate your agreement with the following statements: [I use my own ideas to solve tasks.]","Please rate your agreement with the following statements: [I closely inspect how LLMs solve tasks to improve my own solutions.]","Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.]","Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.]","Please rate your agreement with the following statements: [Before starting with a new task, I think about how to solve it in the best way possible.]","Please rate your agreement with the following statements: [After finishing a task, I think about how to solve the next one more efficiently and more precisely.]","Please rate your agreement with the following statements: [While solving a task, I want to learn something from LLMs, so that I can use that knowledge to solve the following task better.]","Please rate your agreement with the following statements: [I want to learn something for myself, because I can then solve the following tasks faster.]","Please rate your agreement with the following statements: [I look at how others work in the company to improve my work.]","Please rate your agreement with the following statements: [I ask my colleagues when I am not sure how well I worked.]","Please rate your agreement with the following statements: [I ask my colleagues about the methods and tricks they use at work.]","Please rate your agreement with the following statements: [Before starting a new task, I think about how I can do my work best.]","Please rate your agreement with the following statements: [When I have finished a new task, I think about what I still could do better next time.]","Please rate your agreement with the following statements: [I want to learn something new at work for myself because then I can pursue my career at the company.]","Please rate your agreement with the following statements: [I want to learn something new for myself because then I can solve problems at work faster.]","Disclaimer: “LLM definition: Large Language Models (LLMs), also referred to as Generative Language Models (GLMs), are AI systems capable of generating text based on a prompt. Examples include OpenAI's GPT-4/ChatGPT, Google's Gemini, Microsoft's Co-Pilot, Anthropic's Claude, or Meta's LLama.”","Written contributions  Please indicate how often you engage in the following written knowledge-sharing activities with colleagues.  [I share documentation from personal files related to current work.]","Written contributions  Please indicate how often you engage in the following written knowledge-sharing activities with colleagues.  [I contribute ideas and thoughts to a company online database. ]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I express ideas and thoughts in organizational meetings.]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I engage in long-term coaching relationships with junior employees. ]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I spend time in personal conversation (e.g., discussion in hallway, over lunch, through call) with others to help them with their work-related problems. ]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I keep others updated with important organizational information through personal conversation. ]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share passion and excitement on some specific subjects with others through personal conversation.]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share experiences that may help others avoid risks and trouble through personal conversation.]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I have online chats with others to help them with their work-related problems.]","Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I spend time in e-mail communication with others to help them with their work-related problems.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community* members to create innovative solutions for problems that occur in work.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share own experience and practice on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share success and failure stories on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to work to encourage excellence in community’s practice.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I support personal development of new community members.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I send related information to members through community e-mail list.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]","Disclaimer: “LLM definition: Large Language Models (LLMs), also referred to as Generative Language Models (GLMs), are AI systems capable of generating text based on a prompt. Examples include OpenAI's GPT-4/ChatGPT, Google's Gemini, Microsoft's Co-Pilot, Anthropic's Claude, or Meta's LLama.”","To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ]","To what extent do you agree or disagree with the following statements? [I find it easy to get LLMs to do what I want it to do.]","To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.]","To what extent do you agree or disagree with the following statements? [I find LLMs to be clear and understandable.]","To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.]","To what extent do you agree or disagree with the following statements? [I find LLMs easy to use.]","Disclaimer: “LLM definition: Large Language Models (LLMs), also referred to as Generative Language Models (GLMs), are AI systems capable of generating text based on a prompt. Examples include OpenAI's GPT-4/ChatGPT, Google's Gemini, Microsoft's Co-Pilot, Anthropic's Claude, or Meta's LLama.”","To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.]","To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.]","To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.]","To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.]","To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.]","To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.]","To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.]","Disclaimer: “LLM definition: Large Language Models (LLMs), also referred to as Generative Language Models (GLMs), are AI systems capable of generating text based on a prompt. Examples include OpenAI's GPT-4/ChatGPT, Google's Gemini, Microsoft's Co-Pilot, Anthropic's Claude, or Meta's LLama.”","What’s the most impressive or useful example of LLMs in your environment that comes to your mind?","What’s the most concerning example of LLMs in your environment that comes to your mind?","You've reached the last question. We value your opinion on the survey itself. If you have any comments or suggestions, please share them below.  Do you have any feedback that can be implemented in future surveys? ","Total time","Group time: Demographics","Question time: DemQ01","Question time: DemQ02","Question time: DemQ03","Question time: DemQ04","Question time: DemQ07","Question time: G01Q31","Question time: DemG055","Question time: DemQ05","Question time: DemQ06","Question time: DemQ51","Group time: AI Literacy","Question time: G03Disclaimer","Question time: LitQ01","Group time: AI Usage in the Workplace","Question time: G04Disclaimer","Question time: UseQ01","Question time: UseQ02","Group time: Task Complexity","Question time: GTCQ01","Question time: GTCQ02","Group time: Learning and Problem-Solving at Work","Question time: G05Disclaimer","Question time: ILQ01","Group time: How often do you engage in the following activities?","Question time: G06Disclaimer","Question time: WrittQ01","Question time: OrgQ01","Question time: CommQ01","Group time: Working with LLMs","Question time: G07Disclaimer","Question time: PEUQ01","Group time: Effects of Using LLMs at Work","Question time: G08Disclaimer","Question time: PUQ01","Group time: Further Thoughts on LLMs","Question time: G09Disclaimer","Question time: OpenQ01","Question time: OpenQ02","Group time: Feedback (Optional)","Question time: G10Q28"
"3","","1","en","959255260","2025-04-25 18:41:25","2025-04-25 18:43:06","Other","ITS ME DAVID DO NOT USE","28","Student","","Computer Science","Full-time","No","2.5","0","12","Other","ITS ME DAVID DO NOT USE","2-5","","1 - Not at all","2","3","4","5 - A great extent","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.77","100.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2025-04-26 00:09:45","10","en","1523728688","2025-04-25 23:53:39","2025-04-26 00:09:45","Male","","28","Employee","","Chemical Industry ","No","Full-time","2","1","1","Entry-level","","11-20","","3","1 - Not at all","2","4","4","5 - A great extent","","2","2","1 - no ability","2","3","2","4","4","5","2","4","4","1 - no ability","2","1 - no ability","","Once a month","While using bing or Google.","1 - strongly disagree","1 - strongly disagree","6","5","5","7 - strongly agree","6","4","5","4","","6 - fully agree","4","1 - not agree at all","1 - not agree at all","6 - fully agree","5","2","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","5","4","5","","often","sometimes","often","never","often","often","always","sometimes","rarely","rarely","sometimes","often","never","rarely","rarely","rarely","rarely","","2","5","3","1 - extremely disagree","5","6","","2","1 - extremely disagree","3","4 - neither","5","5","1 - extremely disagree","","Predictive Maintenance ","To run the plant autonomous without human interaction. Very easy to manipulate because of black box problem.","Maybe we can soon chat with an AI about the topic casually and still transfer the information needed.","895.87","139.53","","","","","","","","","","","122.14","","","57.94","","","","87.3","","","129.91","","","147.73","","","","","34.6","","","39.54","","","56.66","","","","80.52",""
"5","2025-04-26 10:13:30","10","en","1990515104","2025-04-26 09:53:59","2025-04-26 10:13:30","Female","","22","Student","","Social Sciences","Full-time","Half-time","1","1","1","Entry-level","","11-20","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","4","1 - Not at all","","5","5","5","5","5","5","2","4","5","5","2","5","3","3","6 - perfect ability","","Multiple times a week","translations, formulations, explanations, conceptualization of ideas","3","2","3","2","5","3","2","2","5","5","","5","2","1 - not agree at all","4","6 - fully agree","2","5","6 - fully agree","4","2","2","5","5","5","5","","often","never","often","never","never","never","sometimes","never","sometimes","rarely","never","never","never","never","never","never","never","","6","6","5","5","5","6","","6","6","6","6","6","6","3","","ChatGPT is very impressive. For instance, when thinking about a research design it can really help organizing your ideas and coming to a clear proposal. ","ChatGPT is very unhelpful when it comes to literature research. Sometimes it just invents sources or has problems finding credible papers regarding a topic.","","1172.55","199.1","","","","","","","","","","","126.51","","","111.17","","","","105.96","","","98.35","","","147.02","","","","","29.2","","","38.27","","","304.2","","","","12.77",""
"6","","","en","1856470458","2025-04-26 20:21:42","2025-04-26 20:21:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2025-04-28 04:15:32","10","en","709776604","2025-04-28 04:01:14","2025-04-28 04:15:32","Female","","26","Employee","","Fishing","No","Full-time","3","1","5","Mid-level","","2-5","","2","1 - Not at all","1 - Not at all","3","4","1 - Not at all","","5","5","4","5","5","6 - perfect ability","3","4","4","3","3","3","4","4","5","","Multiple times a month","To search for laws and ways to apply them","4","3","3","2","3","4","5","5","5","3","","6 - fully agree","6 - fully agree","3","6 - fully agree","6 - fully agree","3","2","5","2","2","6 - fully agree","4","4","5","5","","rarely","rarely","often","never","always","rarely","sometimes","often","rarely","never","never","rarely","never","never","never","never","never","","7 - extremely agree","5","6","6","6","6","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","6","5","","The way it helps to search for and compile information that would take me a long time to do by myself ","The information is not always what I’m looking for, so I have to verify or cross-check what it shows","It’s well done ","862.25","112.27","","","","","","","","","","","92.32","","","85.63","","","","58.57","","","99.06","","","157.72","","","","","29.92","","","23.34","","","181.82","","","","21.6",""
"8","","","en","1375667929","2025-04-28 08:50:27","2025-04-28 08:50:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","1","en","1241942998","2025-04-28 11:25:52","2025-04-28 11:29:43","Female","","26","Employee","","Gym","No","Full-time","4","4","0","Senior-level","","11-20","","3","1 - Not at all","3","1 - Not at all","3","1 - Not at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230.45","230.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","4","en","1519810074","2025-04-29 20:26:55","2025-04-29 20:33:54","Male","","28","Other","Arbeitslos","Raumfahrt, Luftfahrt ","No","No","10","0","3","Senior-level","","21+","","5 - A great extent","3","5 - A great extent","5 - A great extent","4","3","","5","5","5","5","5","5","5","4","5","5","5","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","","Multiple times a month","ChatGPT","4","3","4","5","4","5","4","1 - strongly disagree","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418.51","143.98","","","","","","","","","","","101.13","","","22.91","","","","150.49","","","","","","","","","","","","","","","","","","","","","",""
"11","2025-04-30 08:46:11","10","en","819620125","2025-04-30 08:38:14","2025-04-30 08:46:11","Male","","28","Student","","Data Science","Full-time","Half-time","2","0","3","Entry-level","","2-5","","2","1 - Not at all","3","4","5 - A great extent","4","","5","5","5","5","5","5","5","5","5","5","3","3","5","5","5","","Multiple times a week","Writing Emails, concepts for work. Help with coding. ","6","5","2","4","4","7 - strongly agree","7 - strongly agree","2","6","7 - strongly agree","","4","5","4","4","4","5","4","5","6 - fully agree","5","6 - fully agree","5","4","4","4","","sometimes","rarely","often","sometimes","sometimes","sometimes","rarely","often","often","rarely","sometimes","sometimes","never","rarely","sometimes","never","never","","6","5","5","6","6","6","","7 - extremely agree","6","6","6","6","6","4 - neither","","","","","479.21","91.18","","","","","","","","","","","74","","","93.03","","","","36.48","","","57.16","","","70.94","","","","","21.45","","","22.67","","","10.04","","","","2.26",""
"12","2025-04-30 11:03:01","10","en","2718294","2025-04-30 10:34:52","2025-04-30 11:03:01","Female","","24","Student","","IT","Full-time","Half-time","5.5","1","6","Other","Working student","2-5","","1 - Not at all","1 - Not at all","1 - Not at all","4","5 - A great extent","5 - A great extent","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","5","6 - perfect ability","6 - perfect ability","5","5","5","6 - perfect ability","5","","Multiple times a week","Usually for bug fixing or specific low knowledge-high effort tasks","2","2","2","2","3","6","6","6","6","6","","5","4","5","5","5","5","4","5","6 - fully agree","5","5","4","5","5","6 - fully agree","","sometimes","sometimes","sometimes","never","often","often","often","often","often","sometimes","never","never","never","never","never","never","never","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","","7 - extremely agree","6","7 - extremely agree","6","7 - extremely agree","6","5","","","","","1693.07","112.11","","","","","","","","","","","77.51","","","45.79","","","","227.82","","","119.98","","","1035.59","","","","","34.31","","","25.2","","","8.89","","","","5.87",""
"13","","4","en","1631744601","2025-04-30 16:13:06","2025-04-30 16:18:50","Male","","25","Student","","Business","Half-time","Half-time","2","1","2","Entry-level","","2-5","","2","1 - Not at all","1 - Not at all","3","5 - A great extent","3","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","4","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","5","4","","Multiple times a day","Text correction
Programming ","6","3","6","5","6","5","4","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","343.63","147.85","","","","","","","","","","","99.33","","","42.25","","","","54.2","","","","","","","","","","","","","","","","","","","","","",""
"14","2025-04-30 18:17:13","10","en","107444724","2025-04-30 18:05:50","2025-04-30 18:17:13","Male","","30","Academic (e.g. researcher, lecturer - not student)","","Psychology","No","Full-time","5.5","2","1","Mid-level","","2-5","","2","3","1 - Not at all","5 - A great extent","5 - A great extent","5 - A great extent","","5","5","5","4","4","5","5","6 - perfect ability","5","5","3","4","4","3","4","","Multiple times a week","Literature search, generating summaries, improving language for written text, help with programming","3","4","2","6","5","7 - strongly agree","7 - strongly agree","6","5","7 - strongly agree","","5","4","5","3","5","5","4","5","4","3","4","6 - fully agree","5","6 - fully agree","6 - fully agree","","often","sometimes","often","sometimes","often","rarely","often","often","rarely","often","sometimes","sometimes","sometimes","sometimes","rarely","rarely","sometimes","","6","5","6","5","6","6","","6","4 - neither","5","5","6","6","4 - neither","","Application of LLMs on a private server to study real-life interactions of people with LLMs","Uncritical use for literature search and hallucination of sources","","686.46","122.21","","","","","","","","","","","76.15","","","88.77","","","","77.02","","","58.51","","","117.02","","","","","29.46","","","27.15","","","83.9","","","","6.27",""
"15","","2","en","829412898","2025-05-02 13:50:25","2025-05-02 13:54:03","Male","","33","Employee","","Procurement ","No","Full-time","5","2","6","Mid-level","","6-10","","4","5 - A great extent","1 - Not at all","2","4","4","","3","4","4","4","4","4","3","3","3","4","2","3","1 - no ability","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218.59","129.44","","","","","","","","","","","89.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
