Variable 1,Variable 2,Correlation
age,yearsWorkExp,0.959366946279424
age,timeInPosition,0.9194167032122579
yearsWorkExp,timeInPosition,0.9106597321615063
yearsWorkExp,hierarchy,0.8423263243100785
age,hierarchy,0.8173301173635418
timeInPosition,hierarchy,0.8108805646941248
AI_Lit,pEU,0.7784093070897734
AI_Lit,frequency,0.7117958441348035
AI_Lit,pUse,0.6822547867498057
responsibility,orgComms,0.6619479308572083
frequency,IL_LLM,0.6241933328411329
frequency,pUse,0.6179382033102552
AI_Lit,IL_LLM,0.6147414222126819
orgComms,communContr,0.5963190372063485
pEU,pUse,0.5880843282500461
IL_LLM,pEU,0.5546210352648911
IL_Non_LLM,orgComms,0.5237787439418987
IL_LLM,pUse,0.5213868651613783
yearsWorkExp,interviewtime,0.5061355510889219
frequency,pEU,0.5015565540279459
hierarchy,responsibility,0.491518999772308
responsibility,communContr,0.4645916453779782
colleagueTaskComplexity,orgComms,0.45375577750411084
workPFtime,hierarchy,0.4476098858705847
age,workPFtime,0.43978012078981527
timeInPosition,responsibility,0.4338094834531208
age,interviewtime,0.43119014911947745
workPFtime,yearsWorkExp,0.39387168188573257
workPFtime,orgComms,0.3923877576743943
age,responsibility,0.3922042332426772
IL_Non_LLM,communContr,0.39087369969882624
frequency,llmTaskComplexity,0.37001041955580777
workPFtime,responsibility,0.3623841166681733
workPFtime,writtenContribution,0.3620239505455101
responsibility,IL_Non_LLM,0.3607180502366888
workPFtime,timeInPosition,0.3554402782334171
yearsWorkExp,responsibility,0.35289633108898266
timeInPosition,AI_Lit,-0.35272706721543884
age,AI_Lit,-0.35506806141126446
timeInPosition,frequency,-0.36317778782487403
yearsWorkExp,frequency,-0.3687045229857678
studyPFtime,responsibility,-0.3727477034755694
yearsWorkExp,AI_Lit,-0.3777278799064926
hierarchy,AI_Lit,-0.38700486537999007
studyPFtime,communContr,-0.40389861430205853
studyPFtime,timeInPosition,-0.40548646129576044
studyPFtime,yearsWorkExp,-0.44070489096040666
hierarchy,frequency,-0.44848098235860123
age,studyPFtime,-0.5122497447496366
studyPFtime,hierarchy,-0.519441329378283
studyPFtime,workPFtime,-0.8036849263778897
