Variable 1,Variable 2,Correlation,Full Question Variable 1,Full Question Variable 2,Fully written question
93: PUQ01[SQ003],94: PUQ01[SQ004],0.93668824,To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],
92: PUQ01[SQ002],93: PUQ01[SQ003],0.929894166,To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
92: PUQ01[SQ002],94: PUQ01[SQ004],0.900656513,To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],
30: LitQ01[SQ005],31: LitQ01[SQ006],0.899400499,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],
94: PUQ01[SQ004],95: PUQ01[SQ005],0.898218491,To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
29: LitQ01[SQ004],30: LitQ01[SQ005],0.895533717,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]","Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",
28: LitQ01[SQ003],29: LitQ01[SQ004],0.88829173,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",
93: PUQ01[SQ003],95: PUQ01[SQ005],0.887527249,To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
78: CommQ01[SQ001],79: CommQ01[SQ002],0.87614369,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community* members to create innovative solutions for problems that occur in work.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share own experience and practice on specific topics with common interests.]",
14: G01Q31,15: DemG055[SQ001],0.870324255,How many years of total work experience do you have in your current field or industry?,How long have you been in your current role/position? [Years],1: Total years of work position. 2: Total years in position
